False Acceptance Rate (FAR), True Positive Rate (TPR), Thresholds
0.0, 0.0, inf
0.0, 0.00625, 0.9999996423721313
0.0, 0.065625, 0.9999799728393555
0.0, 0.071875, 0.9999796152114868
0.0, 0.95, 0.4938552677631378
0.003125, 0.95, 0.48779892921447754
0.003125, 0.959375, 0.45612671971321106
0.009375, 0.959375, 0.44327211380004883
0.009375, 0.965625, 0.43561625480651855
0.0125, 0.965625, 0.42997193336486816
0.0125, 0.971875, 0.40420106053352356
0.015625, 0.971875, 0.40058350563049316
0.015625, 0.975, 0.38983237743377686
0.025, 0.975, 0.37078312039375305
0.025, 0.978125, 0.3658880293369293
0.071875, 0.978125, 0.3135104477405548
0.071875, 0.98125, 0.31316179037094116
0.096875, 0.98125, 0.29886019229888916
0.096875, 0.984375, 0.29704320430755615
0.115625, 0.984375, 0.27850082516670227
0.115625, 0.9875, 0.2776232063770294
0.2, 0.9875, 0.23720191419124603
0.2, 0.990625, 0.23703601956367493
0.284375, 0.990625, 0.21930819749832153
0.284375, 0.99375, 0.2188563048839569
0.653125, 0.99375, 0.16371463239192963
0.653125, 0.996875, 0.16361743211746216
0.915625, 0.996875, 0.13176144659519196
0.915625, 1.0, 0.13152968883514404
1.0, 1.0, 0.10829389840364456

EER: 0.025000000000000012
Threshold at EER: 0.37078312039375305
